,Name,Timestamp,Index,Video_Title,Video_ID,Video_URL,Channel_Name,Channel_URL,Description,Publish_Date,Category,View_Count,Like_Count,Dislike_Count,Comment_Count,Classification,hispanicmale24_Search_Appearance,hispanicmale24_Page,hispanicmale24_Ranking,hispanicfemale24_Search_Appearance,hispanicfemale24_Page,hispanicfemale24_Ranking,whitemale24_Search_Appearance,whitemale24_Page,whitemale24_Ranking,whitefemale24_Search_Appearance,whitefemale24_Page,whitefemale24_Ranking,africanamericanmale24_Search_Appearance,africanamericanmale24_Page,africanamericanmale24_Ranking,africanamericanfemale24_Search_Appearance,africanamericanfemale24_Page,africanamericanfemale24_Ranking,whitemale24_2_Search_Appearance,whitemale24_2_Page,whitemale24_2_Ranking,whitefemale24_2_Search_Appearance,whitefemale24_2_Page,whitefemale24_2_Ranking,hispanicmale16_Search_Appearance,hispanicmale16_Page,hispanicmale16_Ranking,hispanicfemale16_Search_Appearance,hispanicfemale16_Page,hispanicfemale16_Ranking,whitemale16_Search_Appearance,whitemale16_Page,whitemale16_Ranking,whitefemale16_Search_Appearance,whitefemale16_Page,whitefemale16_Ranking,whitemale16_2_Search_Appearance,whitemale16_2_Page,whitemale16_2_Ranking,whitefemale16_2_Search_Appearance,whitefemale16_2_Page,whitefemale16_2_Ranking,africanamericanmale16_Search_Appearance,africanamericanmale16_Page,africanamericanmale16_Ranking,africanamericanfemale16_Search_Appearance,africanamericanfemale16_Page,africanamericanfemale16_Ranking,electronic_cigarette_search,e-cigarette_search,e-cig_search,vape_search,vaping_search,e-liquid_search,e-juice_search,vape_pods_search,vape_mods_search,cigalikes_search,box_mods_search,vape_pens_search,pod_mods_search,disposable_vape_search,disposable_e-cigs_search,disposables_search,vape_juice_search,ends_search,has_label_0,has_label_1,has_label_2,has_label_3,has_label_4,has_label_5,has_label_6,has_label_7,has_label_8,has_label_9,has_labels,has_label_10,has_label_11,has_label_12,has_label_13,has_label_14,has_label_nan,has_label_n,Comment,model 1
0,Alex,2021-01-01 21:00:48.845063,781,TOP 10 BEST SINGLE BATTERY MODS FOR 2019 - VAPING INSIDER,N7l-nLu9o94,https://www.youtube.com/watch?v=N7l-nLu9o94,Vaping Insider,https://www.youtube.com/channel/UCdV33WWUUx39lTEX2ew9g7g,"in this video, we go over the top 10 best single battery mods for 2019. don't buy a single battery box mod without watching this first!

1. yihi sx mini sl class 100w
review - https://www.youtube.com/watch?v=qgtysacn3lc

2. vandy vape jackaroo 100w
review - https://www.youtube.com/watch?v=-15emhv26wm

3. squid industries detonator 120w
review - https://www.youtube.com/watch?v=qgvvgy5vfds

4. vaporesso armour 100w
review - https://www.youtube.com/watch?v=skdbm5oqvly

5. bohr chaser 127w
review - https://www.youtube.com/watch?v=_qiryhdk2ye

6. uwell nunchaku 80w
review - https://www.youtube.com/watch?v=3prpsboo5qc

7. desire design x mini 108w
review - https://www.youtube.com/watch?v=pwa_avjr6va

8. asmodus amighty 100w
review - https://www.youtube.com/watch?v=g2hcbae5aeg

9. smoant battlestar mini 80w

10. tesla punk mini 85w
review - https://www.vapinginsider.com/tesla-punk-85w-review/

👇 subscribe to the vaping insider youtube channel now 👇
https://www.youtube.com/vaping-insider?sub_confirmation=1

★☆★ connect with vaping insider on social media ★☆★
forum: https://www.vapinginsider.com/forum/
instagram: https://www.instagram.com/vapinginsider/

#vape #singlebatterymods #best

in this video, we cover single-battery mods supporting 18650, 20700 and 21700 batteries. find out which one is right for you.

-----

music: infraction -the upbeat corporate
video link: https://www.youtube.com/watch?v=cofpk1croi0
license: https://creativecommons.org/licenses/by/3.0/",2019-03-05T21:00:02Z,People & Blogs,274404,1659.0,121.0,251.0,[],True,1.0,14.0,True,1.0,15.0,True,7.0,1.0,False,,,True,6.0,19.0,True,3.0,8.0,True,1.0,14.0,False,,,True,4.0,1.0,True,3.0,0.0,True,3.0,9.0,True,1.0,14.0,True,1.0,14.0,True,6.0,6.0,True,3.0,10.0,True,5.0,12.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,0
0,Alex,2021-01-01 21:01:49.281172,494,LiQuid E-liquids,SwvrRa6sAKQ,https://www.youtube.com/watch?v=SwvrRa6sAKQ,EcigsUK,https://www.youtube.com/channel/UCKb6MDRAgNaZlY8Vt9Z2aRA,"see what we think of liquid e-liquids that only cost one quid for each 10ml bottle. for more similar reviews, giveaways, vouchers and up to date industry news, visit our website: http://ecigsuk.org.uk",2016-04-26T08:22:14Z,Howto & Style,4483,43.0,3.0,13.0,[],True,3.0,18.0,True,3.0,12.0,True,3.0,13.0,True,2.0,12.0,True,4.0,15.0,True,3.0,2.0,True,2.0,12.0,True,4.0,1.0,True,3.0,0.0,True,2.0,18.0,True,3.0,0.0,True,3.0,10.0,True,3.0,18.0,False,,,True,3.0,2.0,True,2.0,18.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,givewayas,0
0,Alex,2021-01-01 21:02:16.454420,122,Electronic Cigarettes: the Facts and the Myths,dJBq0WFHqF8,https://www.youtube.com/watch?v=dJBq0WFHqF8,UChicago Medicine,https://www.youtube.com/channel/UCGblQyc4NfpsQ2hLMUYRqZg,"in this webinar, addictions expert andrea king, phd, professor of psychiatry and behavioral neuroscience at the university of chicago, provides a general overview of electronic cigarettes: what they are, their harm and safety, prevalence of use among youth, whether they help quit smoking, whether they might encourage smoking, and more.

00:50 (e-cig overview)
01:45 (e-cig components)
02:20 (what is in e-liquid?)
03:36 (a brief history of e-cigs)
04:52 (e-cig use among youth)
05:52 (e-cigs, the pros and the cons)
07:12 (do they help smokers quit?)
08:15 (new research from the king lab)
09:52 (the bottom line)
11:00 (webinar update, fda regulations announced on may 05, 2016)

to learn more, visit http://addictions.uchicago.edu 
learn more at forefront of medicine:
website: http://www.uchicagomedicine.org
twitter: http://www.twitter.com/uchicagomed
facebook: http://www.facebook.com/uchicagomed
make an appointment today at 888-824-0200.",2016-05-10T18:35:45Z,Science & Technology,6445,,,,[],True,1.0,12.0,True,2.0,0.0,True,2.0,0.0,True,1.0,13.0,False,,,True,1.0,8.0,True,1.0,13.0,True,1.0,14.0,True,1.0,8.0,True,1.0,10.0,True,1.0,11.0,False,,,False,,,True,1.0,10.0,True,1.0,10.0,True,2.0,0.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,1
0,Alex,2021-01-01 21:03:07.264894,2452,What is an Atomizer? | Vape Questions Answered,LHiPevLVpmI,https://www.youtube.com/watch?v=LHiPevLVpmI,VapeWild,https://www.youtube.com/channel/UCDKUsnmc-U81pi98VOm_f4A,"so the question is, what is an atomizer? well, the answer is relatively simple, it’s essentially a device that when activated from its power source, turns e-liquid into vapor to be inhaled and enjoyed. atomizers typically consist of these key parts:
 
·      a material to wick the liquid
 
·      a heating element to vaporize the liquid
 
·      something to house the heating element, wick and liquid

·   connection to a power source (internal or external batteries)
 
 simple enough, right? well, now we can get into the nitty-gritty, as there are many ways atomizers can be utilized from those new to vaping to those looking for more technically advanced options.

find more vape questions answered here - http://bit.ly/2tmr0wm

shop all atomizers here - http://bit.ly/2tmqs2k

you can even find vapewild in the eu here - http://bit.ly/2tl4lov

if you like our videos tell us in the comments and make sure to subscribe!",2018-10-04T00:00:00Z,Howto & Style,60543,407.0,41.0,14.0,[],False,,,False,,,False,,,False,,,True,4.0,7.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,,7
0,Alex,2021-01-01 21:03:57.627583,2663,Exploding Vape Pen Compilation | Vape Explodes | 18650 Battery Explosion,n96BT9FLVyI,https://www.youtube.com/watch?v=n96BT9FLVyI,ShadyVapes,https://www.youtube.com/channel/UCGDU6IRhDFkD-daqQE8KqfQ,"this is a exploding vape compilation | vape explodes e cigarette, e cig explodes compilation of vape explosion 18650 battery explosion that have been caught on camera and they all have one thing in common...........battery safety or lack of it
e cigarette explosion, e cig explodes compilation | exploding vapes

if you did enjoy this video please be sure to leave a thumbs up & subscribe, it would be greatly appreciated. if you have any questions about this setup or any vaping related questions in general, please leave a comment down below.


shadyvapes social media links:-

facebook - https://www.facebook.com/shadyvapes82/
twitter - https://twitter.com/shadyvapes
instagram - https://www.instagram.com/shadyvapes82/",2017-02-23T20:33:26Z,People & Blogs,62058,454.0,104.0,124.0,[],False,,,False,,,False,,,False,,,True,3.0,1.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,9
0,Alex,2021-01-01 21:04:18.880921,154,Is Vaping Marijuana Safe? Death And Lung Disease Linked To E-Cigs Call That Into Questione | TIME,SaziKW5CV7w,https://www.youtube.com/watch?v=SaziKW5CV7w,TIME,https://www.youtube.com/channel/UC8Su5vZCXWRag13H53zWVwA,"vaping thc may be behind many of the serious lung diseases that have been tied to e-cigarette use––raising concerns about an increasingly popular way of consuming marijuana, which many consumers view as a relatively safe habit.
subscribe to time ►► http://po.st/subscribetime
 
get closer to the world of entertainment and celebrity news as time gives you access and insight on the people who make what you watch, read and share.
https://www.youtube.com/playlist?list=pl2effa5db900c633f
 
money helps you learn how to spend and invest your money. find advice and guidance you can count on from how to negotiate, how to save and everything in between.
https://www.youtube.com/playlist?list=plyoglpqqfhnkdqs_wccs94rmhiajrrr4w
 
find out more about the latest developments in science and technology as time’s access brings you to the ideas and people changing our world.
https://www.youtube.com/playlist?list=plyoglpqqfhnizsgcwqht6ctkofhfyual3
 
let time show you everything you need to know about drones, autonomous cars, smart devices and the latest inventions which are shaping industries and our way of living
https://www.youtube.com/playlist?list=pl2862f811be8f5623
 
stay up to date on breaking news from around the world through time’s trusted reporting, insight and access
https://www.youtube.com/playlist?list=plyoglpqqfhnjeisw3a2d5bs22wc3phma6

connect with time
web: http://time.com/
twitter: https://twitter.com/time
facebook: https://www.facebook.com/time 
instagram: https://www.instagram.com/time/?hl=en
magazine: http://time.com/magazine/
newsletter: time.com/newsletter

about time
time brings unparalleled insight, access and authority to the news. a 24/7 news publication with nearly a century of experience, time’s coverage shapes how we understand our world. subscribe for daily news, interviews, science, technology, politics, health, entertainment, and business updates, as well as exclusive videos from time’s person of the year, time 100 and more created by time’s acclaimed writers, producers and editors.
 
is vaping marijuana safe? death and lung disease linked to e-cigs call that into questione | time
https://www.youtube.com/user/timemagazine",2019-09-09T17:11:15Z,News & Politics,20075,55.0,106.0,122.0,"['marijuana', 'tutorial', 'EVALI']",True,3.0,16.0,True,3.0,15.0,True,3.0,19.0,True,3.0,11.0,True,4.0,17.0,True,3.0,15.0,True,3.0,14.0,True,3.0,14.0,True,3.0,12.0,True,3.0,3.0,True,3.0,15.0,True,4.0,1.0,True,3.0,19.0,True,3.0,17.0,True,3.0,13.0,True,3.0,15.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,,,,1 5
0,Alex,2021-01-01 21:05:04.268747,3046,Smok RPM40 Full In-Depth Precise Review [Nic Salt & Free Base Pod],m6k-AbI5JxY,https://www.youtube.com/watch?v=m6k-AbI5JxY,BCE,https://www.youtube.com/channel/UCEpvUZ0NE7rhRNYKfi7DnVA,"visit us online at http://www.buycheapejuice.com

e-juice used during testing http://www.creamejuice.com

we do a precise review on the smok rpm40 pod mod aio device.

truly a remarkable device that brings huge clouds to a compact device. you can vape both nic salt and freebase nicotine e-juice.

right out of the box you get two pods, one for nic salt and the other for freebase nicotine ejuice.",2019-11-08T01:54:48Z,People & Blogs,12796,85.0,7.0,61.0,['tricks'],False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,18.0,False,,,True,6.0,19.0,False,,,True,7.0,17.0,True,7.0,6.0,True,7.0,15.0,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,0
0,Alex,2021-01-01 21:06:34.629939,1185,WE JUST RUINED ALL VAPE PENS! (Vessel Commercial),I3AjCkb6nMw,https://www.youtube.com/watch?v=I3AjCkb6nMw,Puff Puff Pass It TV,https://www.youtube.com/channel/UCs_JFdRYcREXzPXTfWFGj4w,"want top of the line performance wrapped in a minimalist, luxury aesthetic? elevate your experience with a sleek and sophisticated, high-performance vaporizer from vessel. dedicated to intuitive functionality and signature design, a relentless attention to detail and craftsmanship has resulted in the most visually stunning but always discreet oil vaporizers.

the expedition series, style series, and wood series are now available at puff puff pass it! click the link below to shop for the perfect vape pen. be warned: buying a vessel will ruin all other vape pens for you forever...

:: shop vessel :: https://www.puffpuffpassit.com/pages/search-results-page?q=vessel

design matters.
from the moment you pick up your vessel, you'll obsess over its signature design and character. you inspired us to take on the challenge of creating unforgettable designs - simplicity was paramount to our approach. our promise is to make every experience more expressive and personal, and to deliver the best performance in our line of products. the collection is an honest display of our attention to detail and craftsmanship that's second to none.

outperforming the competition
we deliver the best design and performance in our vessel collection. our air intake design and smart power management are simple highlight features that make our products more expressive in how they are used. 

:: your only stop smokeshop :: http://puffpuffpassit.com

a better user experience
we adapted our design to fit your needs with little compromise. the integration of vessel's magnetic charging port means threading and unthreading your 510 cartridge is a thing of the past. the little things matter to us, always.

 key features: 

*engineered for the adventurer. cool anodized aluminum and knurled grip design for a commanding appearance and comes in black or silver
*features a protected, cartridge drop-in design
*fits most 510 thread cartridges
*3-leds indicate battery life and power settings
*three (3) power/temperature settings (low 2.8v, medium 3.2v, high 3.6v)
*usb magnetic charging port
*one (1) year limited warranty
*patent pending


video produced by kampagn la
http://kampagn.com






#vapepen #710 #concentrates #710society #420 #710life #vapepens #dabbing",2018-12-07T22:30:50Z,Howto & Style,9433,53.0,13.0,11.0,['marijuana'],True,5.0,17.0,True,6.0,1.0,True,6.0,0.0,True,5.0,14.0,True,5.0,19.0,True,5.0,5.0,True,5.0,14.0,True,5.0,15.0,True,5.0,19.0,True,3.0,4.0,True,5.0,7.0,True,5.0,17.0,True,5.0,14.0,True,6.0,19.0,True,5.0,6.0,True,7.0,7.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,9
0,Alex,2021-01-01 21:07:17.366492,2649,Custom made parallel unregulated 26650 box mod,2ge66y_O8Mc,https://www.youtube.com/watch?v=2ge66y_O8Mc,Al USAF,https://www.youtube.com/channel/UCo31b1p3Q0HNt9DIO5N4lkg,this is my first custom made parallel unregulated 26650 box mod. i modified the 1590b hammond box (i cut out the back and sanded all the side to eliminate the angled profile) and used wenge hardwood f,2015-03-08T09:56:33Z,People & Blogs,98252,790.0,48.0,328.0,[],False,,,False,,,False,,,False,,,True,6.0,11.0,False,,,True,6.0,0.0,False,,,False,,,False,,,False,,,True,2.0,0.0,False,,,True,6.0,5.0,False,,,False,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,3
0,Alex,2021-01-01 21:07:58.182246,3749,New GoMax Disposable Tank by Innokin! | & $5 for 100ml at Spicy Vape! | IndoorSmokers,yfKO7mDXmE0,https://www.youtube.com/watch?v=yfKO7mDXmE0,IndoorSmokers,https://www.youtube.com/channel/UCShPX44-EC3HtvKohu3Ws4A,"like me on facebook: https://www.facebook.com/indoorsmokers
follow me on twitter: https://twitter.com/indoorsmokers
follow me on instagram: https://www.instagram.com/indoorsmokers/",2019-07-25T18:00:05Z,People & Blogs,8384,388.0,12.0,103.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,0
