,Name,Timestamp,Index,Video_Title,Video_ID,Video_URL,Channel_Name,Channel_URL,Description,Publish_Date,Category,View_Count,Like_Count,Dislike_Count,Comment_Count,Classification,hispanicmale24_Search_Appearance,hispanicmale24_Page,hispanicmale24_Ranking,hispanicfemale24_Search_Appearance,hispanicfemale24_Page,hispanicfemale24_Ranking,whitemale24_Search_Appearance,whitemale24_Page,whitemale24_Ranking,whitefemale24_Search_Appearance,whitefemale24_Page,whitefemale24_Ranking,africanamericanmale24_Search_Appearance,africanamericanmale24_Page,africanamericanmale24_Ranking,africanamericanfemale24_Search_Appearance,africanamericanfemale24_Page,africanamericanfemale24_Ranking,whitemale24_2_Search_Appearance,whitemale24_2_Page,whitemale24_2_Ranking,whitefemale24_2_Search_Appearance,whitefemale24_2_Page,whitefemale24_2_Ranking,hispanicmale16_Search_Appearance,hispanicmale16_Page,hispanicmale16_Ranking,hispanicfemale16_Search_Appearance,hispanicfemale16_Page,hispanicfemale16_Ranking,whitemale16_Search_Appearance,whitemale16_Page,whitemale16_Ranking,whitefemale16_Search_Appearance,whitefemale16_Page,whitefemale16_Ranking,whitemale16_2_Search_Appearance,whitemale16_2_Page,whitemale16_2_Ranking,whitefemale16_2_Search_Appearance,whitefemale16_2_Page,whitefemale16_2_Ranking,africanamericanmale16_Search_Appearance,africanamericanmale16_Page,africanamericanmale16_Ranking,africanamericanfemale16_Search_Appearance,africanamericanfemale16_Page,africanamericanfemale16_Ranking,electronic_cigarette_search,e-cigarette_search,e-cig_search,vape_search,vaping_search,e-liquid_search,e-juice_search,vape_pods_search,vape_mods_search,cigalikes_search,box_mods_search,vape_pens_search,pod_mods_search,disposable_vape_search,disposable_e-cigs_search,disposables_search,vape_juice_search,ends_search,has_label_0,has_label_1,has_label_2,has_label_3,has_label_4,has_label_5,has_label_6,has_label_7,has_labels,has_label_8,has_label_9,has_label_10,has_label_11,has_label_12,has_label_13,has_label_14,has_label_nan,has_label_n,model 2
0,Alex,2020-12-28 18:24:11.898847,285,Vaping without nicotine | Should you do it?,lBFO579guqk,https://www.youtube.com/watch?v=lBFO579guqk,DashVapes,https://www.youtube.com/channel/UCaxBVm0RTllwCweQtbcuotg,"http://dashtv.cc/

a common question we get is ""is it safe to vape without nicotine?"" - let's answer that!

follow us!

instagram - @dashvapes
twitter - @dashvapes
facebook - www.fb.me/dashvapes

dashvapes is canada's leading electronic cigarette and e-juice retailer and distributor.",2020-06-13T11:00:20Z,Science & Technology,33491,1977.0,20.0,289.0,[],True,2.0,1.0,True,2.0,4.0,True,2.0,12.0,True,2.0,8.0,True,3.0,1.0,True,2.0,5.0,True,2.0,8.0,True,1.0,20.0,True,2.0,12.0,True,2.0,2.0,True,2.0,2.0,True,2.0,10.0,True,2.0,2.0,True,2.0,5.0,True,2.0,5.0,True,3.0,2.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,,9
0,Alex,2020-12-28 18:24:46.513603,1861,One e-cigarette with nicotine leads to adrenaline changes in nonsmokers' hearts | UCLA Health,vbGGEbcr2hI,https://www.youtube.com/watch?v=vbGGEbcr2hI,UCLA Health,https://www.youtube.com/channel/UCb_JYhqnSdEejiznUm3XNqQ,"a new ucla study found that healthy nonsmokers experienced increased adrenaline levels in their heart after one electronic cigarette (e-cigarette) with nicotine. the findings are published in journal of the american heart association, the open access journal of the american heart association/american stroke association.",2017-09-20T19:56:17Z,Science & Technology,9598,47.0,23.0,51.0,[],False,,,True,3.0,5.0,True,3.0,6.0,False,,,True,2.0,16.0,True,3.0,0.0,False,,,True,3.0,1.0,True,2.0,18.0,True,3.0,4.0,True,3.0,0.0,True,3.0,2.0,False,,,True,2.0,16.0,True,3.0,2.0,False,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,,9
0,Alex,2020-12-28 18:25:54.158947,1383,Disposable Vape Fixes - Airflow and Getting More From Dying Battery,Gh2PiDeC6-8,https://www.youtube.com/watch?v=Gh2PiDeC6-8,DabConnection,https://www.youtube.com/channel/UCYWbcZhLCu5YSNyqAuAkA-Q,"here's a common airflow fix for disposable batteries. 

you can also blow a blowdryer and heat it up near the top if this does not work to unclog it.

the extra puffs when the battery is dying method got us some more hits out of this thing, but by the time we filmed it, it was too dead. probably got 4-5 extra puffs. not a ton, but something.

#vapelife #cartridges #vapepen #tutorial",2020-06-09T00:42:59Z,Science & Technology,97,1.0,1.0,0.0,['tutorial'],True,3.0,14.0,True,3.0,16.0,True,4.0,3.0,False,,,False,,,True,4.0,2.0,False,,,True,3.0,17.0,False,,,True,4.0,7.0,True,3.0,18.0,True,3.0,17.0,True,3.0,13.0,True,3.0,1.0,True,3.0,17.0,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,,6
0,Alex,2020-12-28 18:26:31.604002,944,Xsmoke cigalike Review,wlztOblWOQE,https://www.youtube.com/watch?v=wlztOblWOQE,Keven Natho,https://www.youtube.com/channel/UCot_-hyaMjxoj_Br6W0umhQ,"in diesem video stelle ich euch die xsmoke cigalike vor die auf facebook derzeit angeboten wird als probier set und ich will mir das mit euch mal genauer ansehen.
https://www.xsmoke.com/de",2017-05-05T09:49:41Z,People & Blogs,187,3.0,1.0,5.0,[],True,4.0,0.0,True,3.0,16.0,True,3.0,17.0,True,3.0,17.0,True,4.0,0.0,True,3.0,12.0,True,3.0,16.0,True,4.0,0.0,True,3.0,6.0,True,7.0,14.0,True,3.0,11.0,True,3.0,17.0,True,4.0,3.0,True,3.0,4.0,True,3.0,14.0,True,4.0,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,0
0,Alex,2020-12-28 18:27:40.579149,3627,How to refill a mark ten e cig,BYxcXans-V8,https://www.youtube.com/watch?v=BYxcXans-V8,Dakota Oneill,https://www.youtube.com/channel/UC3jNFkLhbbCu8F1QWHNDTgQ,how to refill a mark ten e cig,2017-11-12T05:53:33Z,People & Blogs,4641,44.0,0.0,5.0,['tutorial'],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,13.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,,6
0,Alex,2020-12-28 18:28:19.677550,1928,Nasty Juice Bad Blood E-Juice (Taste Test / Review) | Tryout.,JL3VrXyydKQ,https://www.youtube.com/watch?v=JL3VrXyydKQ,TRYOUT,https://www.youtube.com/channel/UCcrgrI3lCbyh30jeRWAzvcw,"back yet again with... nasty juice, wow. surprise? naahh. this time, bad blood.

last review:
• https://youtu.be/tkausgthnv0


music:
• https://soundcloud.com/home-2001
• https://soundcloud.com/flofills

▬▬▬▬▬▬▬▬▬▬▬▬tryout▬▬▬▬▬▬▬▬▬▬▬▬
➫ subscribe: http://bit.ly/subtotryout
➫ twitter: http://www.twitter.com/itryout
➫ discord server: https://discord.gg/xgp5nfg
➫ mrbumbie twitch: https://www.twitch.tv/mrbumbie

feel free to contact me if you should have any products you would like me to review. - tryout.inquiries@gmail.com
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

disclaimer: the products featured and reviewed in this video are for the purpose of consuming nicotine. nicotine is a highly addictive substance and is not to be used or purchased by anyone under the age of 18.

©tryout.™",2018-09-08T11:53:18Z,Entertainment,9090,86.0,19.0,33.0,['tricks'],False,,,True,7.0,17.0,False,,,True,7.0,19.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,19.0,False,,,True,5.0,16.0,False,,,True,7.0,6.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,1
0,Alex,2020-12-28 18:30:28.902864,998,blu eCigs® presents Freedom of The DJ - Episode 4 'Live Streaming',4XfcyOlMxAQ,https://www.youtube.com/watch?v=4XfcyOlMxAQ,Mixmag,https://www.youtube.com/channel/UCQdCIrTpkhEH5Z8KPsn7NvQ,"in this episode we grant blu ecigs exclusive access to mixmaghq to film the lab ldn and find out what the benefits are for a dj.  presented by blu ecigs®: https://www.blu.co.uk
check them out on facebook: https://www.facebook.com/blucigsuk

we speak to the people behind the scenes at mixmag, discovering what it actually takes to make a good stream. getting behind the camera at some of the most hotly tipped live streams at the mixmag offices and travelling with the team to glasgow as they get set to stream a blu tour event across the world, discovering its not always as easy as it looks!  

feat art department, crazy p, jonas rathsman, kry wolf, pedestrian and many more.

director/editor: rick stanton 
producers:penny gabriel and adam vessey
camera operators:rick stanton and michael baxter
sound recordist: robbie churches

production: www.barkfilms.co.uk


© 2014 cygnet.  18+ only.  this product contains nicotine which is a highly addictive substance. blu™, blu ecigs®, and the blu logo are trademarks of lorillard technologies, inc., an affiliate of cygnet uk trading limited trading as blu uk.",2014-11-27T15:48:57Z,Music,23206,54.0,8.0,7.0,['tutorial'],True,7.0,2.0,True,6.0,17.0,True,7.0,0.0,False,,,True,7.0,7.0,True,7.0,8.0,True,7.0,0.0,False,,,False,,,False,,,True,7.0,4.0,True,6.0,17.0,True,7.0,7.0,True,6.0,12.0,True,7.0,8.0,True,6.0,12.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,,9
0,Alex,2020-12-28 18:31:28.178171,1474,Disposable E-Cigarette Pre-Filled with Premium Vape Dinner Lady E-Liquid,o09WJfwtjtM,https://www.youtube.com/watch?v=o09WJfwtjtM,Vape Dinner Lady,https://www.youtube.com/channel/UCrWu9Tk79SurFxnSge6s28Q,"vape dinner lady | www.vapedinnerlady.com

“we believe everyone should smile. we believe nostalgia can be served in a bottle. we take you back to a time where things just didn’t matter”.


introducing a new alternative in vape convenience.

the uk's first disposable e-cigarette pre-filled with dinner lady premium e-liquid.

available in 3 premium dinner lady flavours.

blue menthol

award-winning lemon tart

smooth tobacco

find out more and join the premium league today:  https://www.vapedinnerlady.com/disposable-pod-b2b/",2019-10-08T09:05:52Z,Howto & Style,4891,22.0,3.0,11.0,[],True,2.0,17.0,True,2.0,7.0,True,2.0,11.0,False,,,False,,,True,2.0,13.0,False,,,True,3.0,5.0,False,,,True,7.0,18.0,False,,,False,,,True,2.0,19.0,False,,,False,,,True,3.0,6.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,,,6
0,Alex,2020-12-28 18:32:11.090511,593,Vaping Pure Menthol - The coldest menthol e-liquid,_Mjtla0ZD8s,https://www.youtube.com/watch?v=_Mjtla0ZD8s,ZampleBox,https://www.youtube.com/channel/UCo9H0-J-x8F09Vd6Pnqd3xw,"if you've seen any amount of our e-liquid review videos, you know that chris and ian absolutely love menthol vape juice. well, we decided to take their love of cold menthol to the max. ian ha a huge bottle of the strongest menthol concentrate you can possibly make. 

first, they add the menthol to some e-liquid to make it colder than ever. then they go on to vape straight menthol. it's the coldest vape you can possibly have. although this is a safe thing to do, it does still freeze your face off and is pretty intense. hope you enjoy.

learn more about us here: http://bit.ly/3bbhsv5",2019-05-17T20:45:43Z,Entertainment,185604,2958.0,112.0,411.0,[],True,6.0,15.0,False,,,False,,,False,,,False,,,True,6.0,12.0,False,,,True,3.0,10.0,True,7.0,2.0,True,6.0,13.0,True,6.0,5.0,False,,,True,6.0,16.0,False,,,True,6.0,5.0,True,5.0,14.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,1
0,Alex,2020-12-28 18:33:26.643782,2669,REVIEW: 4 Vape Pens in One (HeavyHitters Quattro),FBhaaJmjCn0,https://www.youtube.com/watch?v=FBhaaJmjCn0,Trippy.Treez,https://www.youtube.com/channel/UCJoevwt_BlGrHZfq5NSPMKA,"reviewing and testing out the heavy hitters quattro!

hitting 4 vape pens at the same time.

check out heavy hitters:
www.instagram.com/heavyhitterstpc
www.tpcheavyhitters.com

any negative or unnecessary comments will be deleted!


thank you so much for watching!! 

if you like what you see, subscribe for more! 💖



links:
instagram: https://www.instagram.com/trippy.treez/
snapchat: trippy.treez
twitter: https://twitter.com/trippytreez
website: www.trippytreez.com",2017-12-13T00:04:00Z,Entertainment,297807,3846.0,239.0,559.0,[],False,,,False,,,False,,,False,,,True,3.0,13.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,3.0,0.0,False,,,True,3.0,17.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,,4
