,Name,Timestamp,Video_Title,Video_ID,Video_URL,Channel_Name,Channel_URL,Description,Publish_Date,Category,View_Count,Like_Count,Dislike_Count,Comment_Count,Classification,hispanicmale24_Search_Appearance,hispanicmale24_Page,hispanicmale24_Ranking,hispanicfemale24_Search_Appearance,hispanicfemale24_Page,hispanicfemale24_Ranking,whitemale24_Search_Appearance,whitemale24_Page,whitemale24_Ranking,whitefemale24_Search_Appearance,whitefemale24_Page,whitefemale24_Ranking,africanamericanmale24_Search_Appearance,africanamericanmale24_Page,africanamericanmale24_Ranking,africanamericanfemale24_Search_Appearance,africanamericanfemale24_Page,africanamericanfemale24_Ranking,whitemale24_2_Search_Appearance,whitemale24_2_Page,whitemale24_2_Ranking,whitefemale24_2_Search_Appearance,whitefemale24_2_Page,whitefemale24_2_Ranking,hispanicmale16_Search_Appearance,hispanicmale16_Page,hispanicmale16_Ranking,hispanicfemale16_Search_Appearance,hispanicfemale16_Page,hispanicfemale16_Ranking,whitemale16_Search_Appearance,whitemale16_Page,whitemale16_Ranking,whitefemale16_Search_Appearance,whitefemale16_Page,whitefemale16_Ranking,whitemale16_2_Search_Appearance,whitemale16_2_Page,whitemale16_2_Ranking,whitefemale16_2_Search_Appearance,whitefemale16_2_Page,whitefemale16_2_Ranking,africanamericanmale16_Search_Appearance,africanamericanmale16_Page,africanamericanmale16_Ranking,africanamericanfemale16_Search_Appearance,africanamericanfemale16_Page,africanamericanfemale16_Ranking,electronic_cigarette_search,e-cigarette_search,e-cig_search,vape_search,vaping_search,e-liquid_search,e-juice_search,vape_pods_search,vape_mods_search,cigalikes_search,box_mods_search,vape_pens_search,pod_mods_search,disposable_vape_search,disposable_e-cigs_search,disposables_search,vape_juice_search,ends_search,has_label_0,has_label_1,has_label_2,has_label_3,has_labels,has_label_4,has_label_5,has_label_6,has_label_7,has_label_8,has_label_9,has_label_10,has_label_11,has_label_12,has_label_13,has_label_14,has_label_nan,has_label_n,Index,model 4
0,Alex,2020-12-22 21:05:00.008867,New study reveals increase in teenagers vaping,xBvlU5qk71g,https://www.youtube.com/watch?v=xBvlU5qk71g,CityNews Toronto,https://www.youtube.com/channel/UCVKAcQQCO8vv87Gk62SutAg,a new study is revealing troubling statistics on the number of canadian teenagers vaping. nigel newlove reports.,2019-06-21T02:34:47Z,News & Politics,651,12.0,12.0,10.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,7.0,2.0,False,,,True,7.0,17.0,False,,,False,,,False,,,False,,,False,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,3109.0,3
0,Alex,2020-12-22 21:06:15.781800,Vape liquid producers to reveal ingredients with new FDA requirement,ojT2yYDkkTU,https://www.youtube.com/watch?v=ojT2yYDkkTU,KTNV Channel 13 Las Vegas,https://www.youtube.com/channel/UCDqchFCm3HNLAob6OpsLWLw,vape liquid producers to reveal ingredients with new fda requirement,2018-10-30T06:49:51Z,News & Politics,1743,10.0,2.0,6.0,[],True,4.0,5.0,True,5.0,6.0,True,5.0,9.0,True,4.0,17.0,True,6.0,4.0,True,4.0,7.0,True,4.0,18.0,True,4.0,11.0,True,3.0,14.0,True,6.0,4.0,True,4.0,6.0,True,4.0,12.0,True,4.0,7.0,True,3.0,18.0,True,4.0,8.0,True,4.0,18.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,529.0,3
0,Alex,2020-12-22 21:06:57.017439,beginners guide to vaping. (E Liquid),Cpt2hiQKfXY,https://www.youtube.com/watch?v=Cpt2hiQKfXY,BlindViews,https://www.youtube.com/channel/UCTBJ6CvkCvQPoIo78MMCOgA,"pg, vg, nic levels, 80-20, 50-50... what does it all mean?
what's in vape juice? what else is pg and vg used for?
these and more questions answered.
i don't own a vape shop or juice company. i don't claim to be an expert. i'm not a doctor.
i am just sharing some of the knowledge i gained and answer some of the questions that i had when i started.
if you're new to vaping or you want to quit smoking and are thinking about vaping, this will answer some questions.",2016-08-29T17:27:32Z,Howto & Style,24692,428.0,18.0,64.0,['tutorial'],False,,,True,7.0,0.0,True,7.0,2.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,2117.0,3
0,Alex,2020-12-22 21:07:30.129758,My Favorite Vape Mod & Tank Set Up - SMOK Alien 220W and TFV8 Cloud Beast Tank,DlU5bcIUC5o,https://www.youtube.com/watch?v=DlU5bcIUC5o,Martin Lotsberg,https://www.youtube.com/channel/UCE1gk_WqpRj_7EFuN1uRAVQ,"quick video about my favorite daily vape mod and tank set up, the smok alien 220w and tfv8 cloud beast tank.

https://www.ecassoc.org/vape-mods/smok-alien-kit-review/

https://www.ecassoc.org",2017-08-15T02:11:55Z,Howto & Style,91331,296.0,47.0,20.0,['tricks'],True,4.0,12.0,True,4.0,15.0,True,4.0,19.0,True,5.0,0.0,False,,,True,3.0,19.0,True,5.0,1.0,True,4.0,13.0,True,4.0,1.0,False,,,True,3.0,19.0,False,,,True,4.0,12.0,False,,,True,4.0,0.0,False,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,835.0,3
0,Alex,2020-12-22 21:07:57.023339,ProSmoke Disposable E-Cig Review for Newbies,bFQtsxipjsc,https://www.youtube.com/watch?v=bFQtsxipjsc,Vapelaxin',https://www.youtube.com/channel/UCNENKLNLNgTB9Qgp4woNrhQ,"todays review is on the new prosmoke disposable electronic cigarette. real nice tobacco and menthol flavor available. you can get them at the link below.

http://www.prosmokestore.com/store/disposable-electronic-cigarettes-9/ 


i've created my channel to inform new people like myself on the various products available for those looking for an alternative to smoking. many electronic cigarette reviewers are heavy ""vapors"" who have been doing it a while. i'm brand new to it and want to help others find the right one to get started on.",2013-03-17T23:57:25Z,Howto & Style,1153,11.0,0.0,2.0,[],True,3.0,16.0,True,3.0,13.0,True,3.0,17.0,True,3.0,9.0,True,3.0,12.0,True,3.0,9.0,True,3.0,10.0,True,3.0,10.0,True,4.0,3.0,True,3.0,16.0,True,3.0,11.0,True,3.0,14.0,True,3.0,14.0,True,3.0,11.0,True,3.0,9.0,True,3.0,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,1489.0,1
0,Alex,2020-12-22 21:09:08.233422,HOW TO GET AROUND THE JUUL FLAVOR BAN,8gkDlW8NoSQ,https://www.youtube.com/watch?v=8gkDlW8NoSQ,Blake Godwin,https://www.youtube.com/channel/UCtXLv1oAMXIbSosY4yWOJPg,in this video i take you through how to get around the juul ban on vape flavors so u can continue your juuling habit or whatever it is that you do if this video helped you make sure to smash the like button and if you want to see more from my channel make sure to hit that subscribe button,2019-10-05T23:14:22Z,Entertainment,114846,1376.0,111.0,314.0,['tutorial'],False,,,False,,,False,,,False,,,True,4.0,9.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,5.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,2739.0,3
0,Alex,2020-12-22 21:10:52.170938,STEEPING your E-Juice! - Why you need to be doing this.,fP5YKiawHU8,https://www.youtube.com/watch?v=fP5YKiawHU8,DashVapes,https://www.youtube.com/channel/UCaxBVm0RTllwCweQtbcuotg,"https://www.dashvapes.com/

steeping your e-juice is one of the most crucial steps to getting a perfect flavour. find out how to do it here!

follow us!

instagram - @dashvapes
twitter - @dashvapes
facebook - www.fb.me/dashvapes

dashvapes is canada's leading electronic cigarette and e-juice retailer and distributor.",2018-04-14T02:36:13Z,Film & Animation,108402,2291.0,42.0,282.0,['tutorial'],True,6.0,12.0,True,7.0,9.0,True,7.0,19.0,True,3.0,7.0,True,5.0,12.0,True,6.0,8.0,True,3.0,8.0,True,7.0,1.0,True,6.0,10.0,True,7.0,15.0,True,6.0,1.0,True,7.0,10.0,True,6.0,14.0,True,7.0,15.0,True,6.0,2.0,True,3.0,17.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,515.0,1 2
0,Alex,2020-12-22 21:11:22.829056,BEST Cotton For Wicking imo! Vaping! RDA! RTA! RDTA!,DOzioNdiT7Q,https://www.youtube.com/watch?v=DOzioNdiT7Q,RiP Trippers,https://www.youtube.com/channel/UCgZd5ygXFoQry9KDGlddSBg,"for more information on what was shown in this video
visit: http://bit.ly/2pgclyu

my instagram: http://www.instagram.com/riptrippers",2018-08-15T03:55:55Z,People & Blogs,184911,4189.0,215.0,316.0,[],False,,,False,,,False,,,False,,,True,3.0,18.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,2462.0,3
0,Alex,2020-12-22 21:11:35.248076,MetallicA - Disposable Heroes (The Bridge School 2007),jHv0zo9hPuQ,https://www.youtube.com/watch?v=jHv0zo9hPuQ,metallivideo,https://www.youtube.com/channel/UCCqy54_HiyXPAl3z2S0CR4A,"recorded: 28 october, 2007 at the bridge school, mountain view, ca
writer: james hetfield / lars ulrich / kirk hammett
album: master of puppets 1986",2012-03-04T13:36:42Z,Music,92016,1173.0,77.0,87.0,[],False,,,False,,,False,,,False,,,True,6.0,10.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,2804.0,3
0,Alex,2020-12-22 21:12:22.146089,SMOK S Priv Box Mod Kit Review & Giveaway,q-rS31bDUHE,https://www.youtube.com/watch?v=q-rS31bDUHE,AmbitionZ VapeR,https://www.youtube.com/channel/UCwBbXDGnzVq8RzZiyv8xPXw,"in this video i do a review on
{{{{{{{{{{{{{{{{{specs}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}} 


----------------------------------------------
you must be 18+ for this content! these videos are used for educational purpose only and i do not persuade anyone to use the products i have in this video. use at your own risk.

here are all my social media links
https://www.instagram.com/ambitionzvaper/?hl=en 
https://twitter.com/ambitionzvaper 
https://www.facebook.com/groups/ambitionz-vaper-squad-240477792997892/ 

want some merch?
https://represent.com/ambitionz-vaper-merch",2017-12-21T16:21:12Z,People & Blogs,24660,348.0,26.0,222.0,[],True,7.0,5.0,False,,,False,,,False,,,False,,,False,,,True,7.0,1.0,True,7.0,5.0,False,,,False,,,False,,,True,5.0,18.0,True,7.0,2.0,True,6.0,8.0,False,,,True,6.0,15.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,1087.0,2
0,Alex,2020-12-22 21:13:38.373205,M vapes Walnut box mods and squonkers quick look and list info!,S7VjBn-Wl-w,https://www.youtube.com/watch?v=S7VjBn-Wl-w,M Vapes,https://www.youtube.com/channel/UC7R_k-8FJqOb4U3eZnPlWpg,"finally got round to getting this preview video done, just a quick look at our new range of walnut box mods and squonkers, i forgot to mention in the video that the main wiring is 14gauge nice and thick! :-) and that the switch style, pot type, general location of things inc the squonk bottle was all determined by asking on facebook and various forums what people preferred so the boxes are built for you guys! enjoy.
list will be created soon keep an eye on our website blog or facebook page for updates. www.m-vapes.co.uk",2016-06-28T13:36:38Z,Education,4705,39.0,1.0,14.0,['marijuana'],False,,,False,,,False,,,False,,,False,,,True,5.0,12.0,False,,,False,,,True,5.0,12.0,False,,,True,5.0,11.0,False,,,False,,,False,,,True,5.0,11.0,True,6.0,6.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,2997.0,1
0,Alex,2020-12-22 21:14:50.567265,Using A CBD Vape Pen For Anxiety,9-kXhCNlApI,https://www.youtube.com/watch?v=9-kXhCNlApI,Israel Soliz,https://www.youtube.com/channel/UC0vSbJkSXjXih2bIlvXLtCw,"update: the eaze wellness deal is no longer available. however, you can still get some great cbd for cbdfx here: http://bit.ly/39owi2n

i use a cbd vape pen for anxiety because the cbd gets into your system faster.

i still use the cbd tincture to control my anxiety and depression in tandem with the vape pen.

using both gives me the best opportunity to keep my anxiety and depression under control.

check out the previous video here: https://youtu.be/14_66pyuqbu



-------------------------------------------------------------

vape pen for anxiety,cbd vape pe for anxiety,cbd oil,cbd oil for anxiety,cbd benefits,does cbd work,cbd reviews for anxiety,cbd reviews for depression,does cbd work for anxiety and depression,does cbd works for anxiety,cbd vape benefits,cbd vape pen benefits,cbd vape oil side effects,cbd vape cart

-~-~~-~~~-~~-~-
please watch: ""vlog 19 mar 19 - strange days"" 
https://www.youtube.com/watch?v=zu3paie5deo
-~-~~-~~~-~~-~-",2019-02-11T21:43:16Z,People & Blogs,9156,88.0,4.0,28.0,[],True,7.0,15.0,False,,,False,,,True,7.0,12.0,True,7.0,4.0,True,7.0,8.0,True,7.0,11.0,True,7.0,18.0,False,,,True,6.0,15.0,True,7.0,7.0,True,7.0,17.0,True,7.0,15.0,False,,,True,7.0,6.0,False,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,1223.0,1
0,Alex,2020-12-22 21:16:23.457790,Delta 9/ 1puff sleep review,kUg2SScazn0,https://www.youtube.com/watch?v=kUg2SScazn0,adventures with Angelina C,https://www.youtube.com/channel/UCdybPk6lVf1f4EqA_Y24okQ,,2020-04-30T01:23:08Z,Howto & Style,59,3.0,1.0,4.0,[],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,6.0,12.0,False,,,False,,,False,,,False,,,False,,,False,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,3310.0,3
0,Alex,2020-12-22 21:16:57.914300,E-cigarette's teen epidemic,jX68PdFoEGE,https://www.youtube.com/watch?v=jX68PdFoEGE,CNBC Television,https://www.youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw,"1 in 5 high school students used an e-cigarette in 2018. that's up 78% from 2017 according the cdc. reporter carl quintanilla talks to juul ceo kevin burns about the surge in teen vaping, his company's responsibility, and what it's doing today to curb that growing trend. we ask former fda commissioner dr. scott gottlieb what the government can do to lessen teen use but also make sure the product is available for adults who are trying to quit smoking.",2019-08-16T19:20:40Z,Entertainment,991,13.0,3.0,1.0,[],False,,,False,,,False,,,False,,,True,6.0,0.0,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,,2380.0,3
