,Unnamed: 0.1,Video_Title,Video_ID,Video_URL,Channel_Name,Channel_URL,Description,model_1,model_2,model_3,model_4
11,11,Electronic Cigarettes and Vaping,9dZS_Rniak0,https://www.youtube.com/watch?v=9dZS_Rniak0,David Geffen School of Medicine UCLA,https://www.youtube.com/channel/UCEYQ_9JVn9FPpn_lkRLLelg,"people have been smoking for at least 7,000 years, but it wasn't until the 1800s that cigarettes became the smoke of choice, after machines were developed to mass produce them. 200 years later, in 2003, the electronic cigarette was invented in china. since then, the use of e-cigarettes, also known as vaping, has grown exponentially around the world.",1,9,3,3
27,27,"JUUL, Vaping, and Electronic Cigarettes: A Public Health Crisis",oejwcRVK4yo,https://www.youtube.com/watch?v=oejwcRVK4yo,AAPexperience,https://www.youtube.com/channel/UCS8Dx-o24NSjOZXPGSoiN9Q,"evidence continues to mount that e-cigarettes, including the widely popular juul devices, pose dangers to youths. in this session, presented by deepa camenga, md, faap, the most recent evidence on the health effects of e-cigarettes is reviewed. attendees also  learn techniques to screen teens for use of these products and how to counsel patients and parents. (monday, november 5, 2018)",1,9,3,3
41,41,Multi-Level Prevention Strategies to Address Teen E-Cigarette Use,QE8QyZW3Jqo,https://www.youtube.com/watch?v=QE8QyZW3Jqo,SAMHSA,https://www.youtube.com/channel/UCAkmVsd_pi2eLlfaPJ0iSCA,"this webinar highlights the latest data trends, challenges in youth e-cigarette prevention, evidence-based tools and resources, and strategies for curbing e-cigarette use among youth. viewers will receive valuable information and resources to help address e-cigarette use among teens in their communities. presenters include prevention leaders from samhsa, the centers for disease control and prevention, the truth initiative, and the u.s. food and drug administration. find more resources and learn about samhsa’s national prevention week at samhsa.gov/prevention-week.",1,9,3,3
67,67,Smoke Free Electronic Cigarette Review,r8FYq7FP9Xw,https://www.youtube.com/watch?v=r8FYq7FP9Xw,Martin Lotsberg,https://www.youtube.com/channel/UCE1gk_WqpRj_7EFuN1uRAVQ,"smoke free electronic cigarette review - a quick review of the smoke free e cig and a comparison to a few other top brands like v2, south beach smoke and bull smoke.

v2 cigs review:
http://www.youtube.com/watch?v=xawr3ibijw0

green smoke review:
https://www.youtube.com/watch?v=af5ij8xpevc

south beach smoke review:
http://www.youtube.com/watch?v=lmxzvx_8hmo

https://www.ecassoc.org/electronic-cigarettes/

https://www.ecassoc.org/",0,0,2,3
78,78,Eleaf iJust 2 Unboxing | Vape | E- Cigarette,N_l4UhB0grc,https://www.youtube.com/watch?v=N_l4UhB0grc,The HirveBaba,https://www.youtube.com/channel/UCcIfdWbV8z3Fev78n_sKxFw,"best buy:
http://yoitect.com/pom


eleaf ijust 2 specs and features.

kit content

1 x eleaf ijust 2 2600 mah battery
1 x eleaf ijust 2 tank with 0.3 ohm ec coil
1 x eleaf ijust 2 510 drip tip
1 x airflow control ring
1 x micro usb charging cable

specifications

wattage range: 30-100w
tank capacity: 5.5ml
coils available: 0.3ohm, 0.5ohm & 0.15ohm ni200 (compatible with melo, atlantis and atlantis 2 coils)
wicking material: 100% organic cotton
diameter: 20mm

battery:

​length: 81mm
diameter: 22mm
capacity: 2600mah
color: silver
thread type: 510 thread
material: stainless steel
connector: spring


music credits
itro tobu cloud9 - ncs",0,4,5,1
81,81,DIY | How to Make E-Cigarette at Home - Atomizer + Mod,aPYWXCKQ5uA,https://www.youtube.com/watch?v=aPYWXCKQ5uA,John's Crafting Lab,https://www.youtube.com/channel/UCw81jSbRv0nQVVXlVCWGgcg,"this is my e-cig built,scratch made rdta atomizer and scratch made mech mod,makes a ton of vapor!
supports charging and battery level indication by using a powerbank's circuitry.

disclaimer:
this is a proof of concept and made on plastic which can be dangerous if overheated,but the same design is good for metal implementation.
follow my diy video and make a copper rda instead of a plastic one:
https://www.youtube.com/watch?v=kw-p8jidoba
keep in mind that this is a mechanical mod, search the internet on how to use one safely before getting ahold of one.

this one is made with pvc pipes and fire retardant plastic sheet,total cost under 3$.

like my facebook page:
https://www.facebook.com/johnscraftinglab

music:
miami viceroy,octoblues,disco medusae,and chill wave by kevin macleod (incompetech.com)
licensed under creative commons: by attribution 3.0 license
http://creativecommons.org/licenses/by/3.0/",3 7,3,5,3
100,100,Guide To Choosing Your Electronic Cigarette & Vape Device -  180 Smoke,-dYdD1Sdabc,https://www.youtube.com/watch?v=-dYdD1Sdabc,180 SMOKE VAPE STORE,https://www.youtube.com/channel/UCi8p8cIFzikgMA7BD1Q2TIA,"information on various types of e-cigarette categories! http://www.180smoke.ca/

cigalikes: http://www.180smoke.ca/e-cigarette-starter-kits-cigalikes

standard: http://www.180smoke.ca/cloudmaker-e-cigarette

variable: http://www.180smoke.ca/cloud-maker-plus-kit

advanced: http://www.180smoke.ca/premium-vaping-kits",7,0 3 4,0 1,1
111,111,High Quality Electronic Cigarette Rolling Machine for Sale,TQTeT6ATlkU,https://www.youtube.com/watch?v=TQTeT6ATlkU,SaferWholesaleCom,https://www.youtube.com/channel/UC8LsI9nlTr-5sDqmZkO2iHQ,"visit http://www.saferwholesale.com/cigaretteroller to get yours today!

you will be extremely excited once you receive your brand new electronic cigarette rolling machine because they have what other brand new electronic cigarette rolling machine sellers do not! sure there are others out there claiming or selling models that look the same, however the quality is just not there!",0,8,6,1
116,116,Tips & Tutorial for Using Your ProVape Electronic Cigarette,K0qjPhMvdJE,https://www.youtube.com/watch?v=K0qjPhMvdJE,ProVape - New Brand Acct,https://www.youtube.com/channel/UCZESQZNn5Ue-zZp0Z-UdvpA,helpful tips for using your provape (http://provape.com/) electronic cigarette for the first time. provape is the industry leader in electronic cigarettes and accessories.,7,4,1,1
136,136,The BEST VAPES of 2019!,IolLQEx0xtg,https://www.youtube.com/watch?v=IolLQEx0xtg,DashVapes,https://www.youtube.com/channel/UCaxBVm0RTllwCweQtbcuotg,"2019 proved to be quite the eventful year. let's take a look back at all the revolutionary products released in the year and see which ones really stand out from the crowd!

follow us!

instagram - @dashvapes
twitter - @dashvapes
facebook - www.fb.me/dashvapes

dashvapes is canada's leading electronic cigarette and e-juice retailer and distributor.",0,3 4,0 1,1 2
